verification_status,id,name,type,address,city,state,zip,country,terminal_code,Major Metro,Metro Region
VERIFIED,61,CN - New Orleans,ramp,2351 Hickory Avenue,Harahan,LA,70123,USA,USMSYCNNORL,LA-New Orleans,New Orleans-Rails
VERIFIED,62,CN - Prince George,ramp,855 River Road,Prince George,BC,V2L5M5,CA,CAPRGCNPGRG,BC-Prince George,
VERIFIED,63,CN - Prince Rupert,ramp,3100 Scott Road,Prince Rupert,BC,V8J3P4,CA,CAPRRCNPRPT,BC-Prince Rupert,
VERIFIED,49,CN - Saskatoon (Chappell Yard),ramp,1701 Chappell Drive,Saskatoon,SK,S7M5J5,CA,CASAKCNCHPL,SK-Saskatoon,
VERIFIED,65,CN - Vancouver (Surrey),ramp,17569 104th Avenue,Surrey,BC,V4N3M4,CA,CAVANCNSRRY,BC-Vancouver,
VERIFIED,66,CN - Winnipeg (Symington Yard),ramp,560 Plessis Road,Winnipeg,MB,R2C2Z4,CA,CAWNPCNSYMG,MB-Winnipeg,
VERIFIED,71,CPR - Calgary,ramp,33 Dufferin Place S.E.,Calgary,AB,T2C4M2,CA,CACALCPCALG,AB-Calgary,
VERIFIED,72,CPR - Chicago (Bensenville),ramp,10800 S. Franklin Ave.,Franklin Park,IL,60131,USA,USCHICPBENS,IL-Chicago,Chicago North
VERIFIED,67,CPR - Chicago (Schiller Park),ramp,9665 West Lawrence Avenue,Schiller Park,IL,60176,USA,USCHICPSHLR,IL-Chicago,Chicago North
VERIFIED,73,CPR - Detroit,ramp,12594 Westwood,Detroit,MI,48223,USA,USDETCPDTRT,Ml-Detroit,
CLOSED,74,CPR - Dryden,ramp,P.O. Box 656,Dryden,ON,P8N2Z3,CA,CADRYCPDRYD,ON-Toronto,
VERIFIED,75,CPR - Edmonton,ramp,10155 - 39th Ave N.W.,Edmonton,AB,T6E6C8,CA,CAEDMCPEDMN,AB-Edmonton,
VERIFIED,76,CPR - Minneapolis (Twin Cities),ramp,615 30th Avenue N.E.,Minneapolis,MN,55418,USA,USMSPCPTWIN,MN-Minneapolis,
VERIFIED,77,CPR - Montreal (Lachine),ramp,2250 - 43rd Avenue,Lachine,QC,H8T2J9,CA,CAMTRCPLCHN,QC-Montreal,
CLOSED,79,CPR - Regina,ramp,2271 Dewdney Ave,Regina,SK,S4R1G8,CA,CAREGCPDWDN,SK-Regina,
VERIFIED,80,CPR - Regina,ramp,2401 Fleming Road,Regina,SK,S4M0A1,CA,CAREGCPDWDN,SK-Regina,
VERIFIED,78,CPR - Vancouver (Pitt Meadows),ramp,17900 Kennedy Road,Pitt Meadows,BC,V3Y1Z1,CA,CAVANCPPITT,BC-Vancouver,
VERIFIED,81,CPR - Vaughan,ramp,6830 Rutherford Road ,Kleinburg,ON,L0J1C0,CA,CATORCPVGHN,ON-Toronto,
VERIFIED,82,CPR - Winnipeg,ramp,611 Keewatin Street,Winnipeg,MB,R2X2S1,CA,CAWNPCPWNPG,MB-Winnipeg,
VERIFIED,85,CSX - Atlanta (Fairburn Serves BNSF),ramp,6954 McLarin Road,Fairburn,GA,30213,USA,USATLCXFBRN,GA-Atlanta,Fairburn
VERIFIED,103,CSX - Baltimore (Seagirt Marine Terminal),ramp,4801 Keith Avenue,Baltimore,MD,21224,USA,USBALCXKTHA,MD-Baltimore,
VERIFIED,86,CSX - Bessemer (CAICTF),ramp,2401 5th Ave.,Bessemer,AL,35020,USA,USBHMCXCAIC,AL-Birmingham,
VERIFIED,87,CSX - Buffalo (ICTF),ramp,257 Lake Ave,Blasdell,NY,14219,USA,USBUFCXICTF,NY-Buffalo,
VERIFIED,127,CSX - Central Florida (ILC-Orlando),ramp,3935 Intermodal Dr,Winter Haven,FL,33884,USA,USGIFCXCFLA,FL-Winter Haven,
VERIFIED,88,CSX - Chambersburg (Harrisburg),ramp,700 Kriner Road,Chambersburg,PA,17202,USA,USCBBCXCHMB,PA-Chamersburg,
VERIFIED,108,CSX - Charleston (Meeting Street),ramp,4201 Meeting Street,North Charleston,SC,29405,USA,USCHSCXMTGS,SC-Charleston,Charleston-Rails
VERIFIED,98,CSX - Charlotte ,ramp,5430 Hovis Road,Charlotte,NC,28208,USA,USCLTCXHVIS,NC-Charlotte,
VERIFIED,89,CSX - Chicago (59th Street),ramp,2101 W. 59th St.,Chicago,IL,60636,USA,USCHICX59ST,IL-Chicago,Chicago Metro
VERIFIED,90,CSX - Chicago (Bedford Park),ramp,7000 W. 71st St.,Bedford Park,IL,60638,USA,USCHICXBFRD,IL-Chicago,Chicago Metro
VERIFIED,117,CSX - Cincinnati ,ramp,2149 Western Avenue,Cincinnati,OH,45214,USA,USCVGCXQNSG,OH-Cincinnati,
VERIFIED,91,CSX - Cleveland,ramp,601 East 152nd Street,Cleveland,OH,44110,USA,USCLECXCLNW,OH-Cleveland,
VERIFIED,92,CSX - Columbus,ramp,2351 West Belt Drive,Columbus,OH,43228,USA,USCMHCXBKYE,OH-Columbus,
VERIFIED,93,CSX - Detroit ,ramp,6750 Dix Avenue,Detroit,MI,48209,USA,USDETCXDIXA,Ml-Detroit,
VERIFIED,122,CSX - East St. Louis (St. Louis),ramp,3900 Rose Lake Road,East Saint Louis,IL,62201,USA,USSTLCXESTL,MO-Saint Louis,
VERIFIED,94,CSX - Evansville,ramp,2710 Dixie Flyer Rd,Evansville,IN,47712,USA,USEVVCXDIXE,IN-Evansville,
VERIFIED,114,CSX - Indianapolis (Avon),ramp,501 S. County Road 800E,Avon,IN,46123,USA,USINDCXPLFD,IN-Indianapolis,
VERIFIED,121,CSX - Jacksonville ,ramp,5902 Sportsman Club Road,Jacksonville,FL,32219,USA,USJAXCXSPRT,FL-Jacksonville,JAX Rails
NEW,,CSX - Jacksonville (Jaxport ICTF),ramp,9600 New Berlin Road,Jacksonville,FL,32226,USA,,FL-Jacksonville,JAX Rails
VERIFIED,101,CSX - Kansas City,ramp,3301 East 147th Street,Kansas City,MO,64147,USA,USMKCCXKCMO,MO-Kansas City,
VERIFIED,102,CSX - Kearny,ramp,700 Old Fish House Road,Kearny,NJ,7032,USA,USNYCCXKRNY,NJ-Newark,NY/NJ-Rails
VERIFIED,104,CSX - Little Ferry,ramp,2200 83rd Street,North Bergen,NJ,7047,USA,USNYCCXFRRY,NJ-Newark,NY/NJ-Rails
VERIFIED,105,CSX - Louisville,ramp,8021 National Turnpike Rd,Louisville,KY,40214,USA,USLUICXLVLE,KY-Louisville,
VERIFIED,106,CSX - Marion,ramp,3007 Harding Hwy. East,Marion,OH,43302,USA,USCMHCXMARN,OH-Columbus,
VERIFIED,107,CSX - Marysville,ramp,20500 State Route 739,Raymond,OH,43067,USA,USCMHCXMRYV,OH-Columbus,
VERIFIED,109,CSX - Memphis,ramp,3588 Paul R. Lowry Road,Memphis,TN,38109,USA,USMEMCXMPHS,TN-Memphis,Memphis-Metro
VERIFIED,110,CSX - Miami,ramp,7300 NW 69th Avenue,Miami,FL,33166,USA,USMIACXMIAM,FL-Miami,Miami Rails
VERIFIED,120,CSX - Nashville ,ramp,3086 Sidco Drive,Nashville,TN,37204,USA,USBNACXSDCO,TN-Nashville,
VERIFIED,112,CSX - North Bergen,ramp,6201 Tonnelle Avenue,North Bergen,NJ,7047,USA,USNYCCXNBRG,NJ-Newark,NY/NJ-Rails
VERIFIED,125,CSX - Northwest Ohio ICTF,ramp,17000 Deshler Rd,North Baltimore,OH,45872,USA,USTOLCXNWOH,OH-Toledo,
VERIFIED,113,CSX - Philadelphia-Greenwich,ramp,3400 South Columbus Blvd.,Philadelphia,PA,19148,USA,USPHLCXGRNW,PA-Philadelphia,Philadelphia-Rails
VERIFIED,115,CSX - Port Newark (Expressrail),ramp,260 Kellogg Street,Elizabeth,NJ,7201,USA,USNYCCXERAL,NJ-Newark,NY/NJ-Rails
VERIFIED,116,CSX - Portsmouth,ramp,1 Harper Avenue,Portsmouth,VA,23707,USA,USORFCXPRTS,VA-Norfolk,Norfolk-Rails
VERIFIED,339,CSX - Salaberry-de-Valleyfield,ramp,515 Boulevard des Erables,Salaberry-De-Valleyfield,QC,J6T6G3,CA,CAMTRCXSLDV,QC-Montreal,
VERIFIED,118,CSX - Savannah (Savannah Port Authority),ramp,2 Main Street,Garden City,GA,31408,USA,USSAVCXGRDN,GA-Savannah,Savannah Rails
VERIFIED,119,CSX - Savannah (Tremont),ramp,3000 Tremont Street,Savannah,GA,31405,USA,USSAVCXTRMN,GA-Savannah,Savannah Rails
VERIFIED,126,CSX - Springfield,ramp,151 Day Street West,West Springfield,MA,1089,USA,USSFYCXWSPG,MA-Springfield,
VERIFIED,95,CSX - Syracuse,ramp,600 Fremont Road,Syracuse,NY,13057,USA,USSYRCXESYC,NY-Syracuse,
VERIFIED,83,CSX - Tampa,ramp,1901 North 62nd Street,Tampa,FL,33619,USA,USTPACX62ST,FL-Tampa,Tampa Rails
VERIFIED,97,CSX - Worcester (Domestic Terminal),ramp,165 Grafton Street,Worcester,MA,1604,USA,USORHCXWORC,MA-Worcester,
VERIFIED,487,CSX - Worchester (Stackbridge),ramp,53 Wiser Avenue,Worcester,MA,1607,US,NULL,MA-Worcester,
DELETE,129,FEC - Atlanta,ramp,"1600 Marietta Road, NW - Gate 6",Atlanta,GA,30318,USA,USATLFEATLA,GA-Atlanta,Metro
VERIFIED,130,FEC - Ft. Lauderdale (Serves CSXT),ramp,3125 S. Andrews Avenue,Fort Lauderdale,FL,33316,USA,USFLLFEFTLL,FL-Fort Lauderdale,
VERIFIED,131,FEC - Ft. Pierce,ramp,353 Florida Avenue,Fort Pierce,FL,34950,USA,USFPRFEFPRC,FL-West Palm Beach,
VERIFIED,132,FEC - Jacksonville,ramp,7150 Phillips Hwy,Jacksonville,FL,32216,USA,USJAXFEJKSV,FL-Jacksonville,JAX Rails
VERIFIED,133,FEC - Miami,ramp,9995 N.W. 116th Way,Miami,FL,33166,USA,USMIAFEMIAM,FL-Miami,Miami Rails
VERIFIED,134,FEC - West Palm Beach,ramp,603 15th Street,West Palm Beach,FL,33401,USA,USPBIFEWPAB,FL-West Palm Beach,
VERIFIED,136,Fox Run Terminal,ramp,4200 W. Lake Street,Melrose Park,IL,60164,USA,USCHIUPFXRN,IL-Chicago,Chicago Metro
VERIFIED,337,Halterm Container Terminal,ramp,577 Marginal Road,Halifax,NS,B3H4P6,CA,CAHALPTHTCT,NS-Halifax,
VERIFIED,343,IAIS - Council Bluffs,ramp,2722 South Avenue,Council Bluffs,IA,51503,USA,USOMAIACBLF,NE-Omaha,
VERIFIED,138,IAIS - Blue Island,ramp,2050 Prairie Street,Blue Island,IL,60406,USA,USCHIIABLUE,IL-Chicago,Chicago South
VERIFIED,141,KCS - Jackson,ramp,360 Industrial Park Road,Richland,MS,39218,USA,USJANKCJACK,MS-Jackson,
VERIFIED,303,KCS - Kansas City,ramp,3301 East 147th Street,Kansas City,MO,64147,USA,USMKCKCKCMO,MO-Kansas City,
VERIFIED,142,KCS - Laredo,ramp,604 Serrano Road,Laredo,TX,78046,USA,USLRDKCLRDO,TX-Laredo,
VERIFIED,276,KCS - Rosenberg,ramp,11538 Gin Road,Beasley,TX,77417,USA,USHOUKCROSE,TX-Houston,Houston-Rails
VERIFIED,140,KCS - Wylie (WIT),ramp,2800 State Highway 78,Wylie,TX,75098,USA,USDALKCWYLE,TX-Dallas,
VERIFIED,734,"Midwest Inland Port / ADM Terminals (NS, CSX, CN)",ramp,3095 E. Parkway Drive,Decatur,IL,62526,USA,NULL,IL-Decatur,
VERIFIED,147,NS - Albany (Mechanicville ramp),ramp,50 Route 67,Mechanicville,NY,12118,USA,USALBNSMECH,NY-Albany,
VERIFIED,148,NS - APM Terminal - Portsmouth (VIG),ramp,1000 APM Terminals Boulevard,Portsmouth,VA,23703,USA,USORFNSAPMT,VA-Norfolk,Norfolk-Rails
VERIFIED,151,NS - Atlanta (Austell Terminal),ramp,"6000 Dr. Luke Glenn Garrett, Jr. Memorial Highway",Austell,GA,30106,USA,USATLNSAUST,GA-Atlanta,Austell
VERIFIED,150,NS - Atlanta (Inman-serves FEC),ramp,1600 Marietta Road,Atlanta,GA,30318,USA,USATLNSINMN,GA-Atlanta,Metro
VERIFIED,152,NS - Ayer,ramp,133 Barnum Road,Ayer,MA,1432,USA,USAERNSAYER,MA-Ayer,
VERIFIED,153,NS - Baltimore,ramp,4800 E. Lombard Street,Baltimore,MD,21224,USA,USBALNSBAYV,MD-Baltimore,
VERIFIED,154,NS - Bethlehem,ramp,2400 Commerce Center Blvd.,Bethlehem,PA,18015,USA,USBEXNSBETH,PA-Bethlehem,
VERIFIED,156,NS - Buffalo ,ramp,500 Bison Parkway,Buffalo,NY,14227,USA,USBUFNSBISN,NY-Buffalo,
VERIFIED,159,NS - Charlotte,ramp,5710 West Boulevard,Charlotte,NC,28208,USA,USCLTNSCHLT,NC-Charlotte,
VERIFIED,160,NS - Chicago (47th Street),ramp,361 W. 47th St.,Chicago,IL,60609,USA,USCHINS47ST,IL-Chicago,Chicago Metro
VERIFIED,161,NS - Chicago (63rd St./Englewood),ramp,169 East 63rd ,Chicago,IL,60637,USA,USCHINS63ST,IL-Chicago,Chicago Metro
VERIFIED,162,NS - Chicago (Calumet),ramp,2040 E. 106th St.,Chicago,IL,60617,USA,USCHINSCLMT,IL-Chicago,Chicago Metro
VERIFIED,163,NS - Chicago (Landers),ramp,7540 S. Western Avenue,Chicago,IL,60620,USA,USCHINSLDRS,IL-Chicago,Chicago Metro
VERIFIED,164,NS - Cincinnati (Gest St),ramp,1276 W. 8th Street,Cincinnati,OH,45203,USA,USCVGNSGEST,OH-Cincinnati,
VERIFIED,192,NS - Cincinnati (Sharonville),ramp,3155 East Sharon Road,Sharonville,OH,45241,USA,USCVGNSSHVL,OH-Cincinnati,
VERIFIED,177,NS - Cleveland,ramp,5300 Greenhurst Drive,Maple Heights,OH,44137,USA,USCLENSMAPL,OH-Cleveland,
CLOSED,165,NS - Decatur NOW combined terminal with other rails,ramp,3095 E. Parkway Drive,Decatur,IL,62526,USA,USDECNSDCTR,IL-Decatur,
VERIFIED,166,NS - Detroit (Delray),ramp,8501 West Fort Street,Detroit,MI,48209,USA,USDETNSDLRY,Ml-Detroit,
VERIFIED,175,NS - Detroit (Livernois Avenue),ramp,2725 Livernois Avenue,Detroit,MI,48209,USA,USDETNSLIVR,Ml-Detroit,
VERIFIED,167,NS - Elizabeth Marine Terminal,ramp,Port Newark Marine Complex,Elizabeth,NJ,7201,USA,USNYCNSEMAR,NJ-Newark,NY/NJ-Rails
VERIFIED,168,NS - E-Rail,ramp,322 Third Street,Elizabeth,NJ,7206,USA,USNYCNSERAL,NJ-Newark,NY/NJ-Ports
VERIFIED,170,NS - Georgetown,ramp,601 Cherry Blossom Way,Georgetown,KY,40324,USA,USGEONSGTWN,KY-Georgetown,
CALL,171,NS - Greencastle,ramp,612 Antrim Commons Drive,Greencastle,PA,17225,USA,USGRPNSGCTL,PA-Greencastle,
VERIFIED,180,NS - Greensboro ,ramp,1105 Merritt Drive,Greensboro,NC,27407,USA,USGBONSMRTT,NC-Greensboro,
VERIFIED,172,NS - Harrisburg,ramp,3500 Industrial Road,Harrisburg,PA,17110,USA,USHARNSHRSB,PA-Harriburgh,
VERIFIED,173,NS - Huntsville,ramp,2850 Wall-Triana Highway,Huntsville,AL,35824,USA,USHSVNSHUNT,AL-Huntsville,
VERIFIED,174,NS - Jacksonville,ramp,6098 Soutel Drive,Jacksonville,FL,32219,USA,USJAXNSJACK,FL-Jacksonville,JAX Rails
VERIFIED,197,NS - Kansas City,ramp,4800 N. Kimball Drive,Kansas City,MO,64161,USA,USMKCNSVLTZ,MO-Kansas City,
VERIFIED,149,NS - Louisville (Appliance Park),ramp,4913 Heller Street,Louisville,KY,40218,USA,USLUINSAPLP,KY-Louisville,
VERIFIED,158,NS - Louisville (Buechel),ramp,4705 Jennings Lane,Louisville,KY,40218,USA,USLUINSBCHL,KY-Louisville,
VERIFIED,178,NS - Birmingham (McCalla),ramp,7100 Crescent Way,Mc Calla,AL,35111,USA,USBHMNSMCLA,AL-Birmingham,
CALL,179,NS - Memphis (Forrest Yard),ramp,2600 Spottswood Avenue,Memphis,TN,38114,USA,USMEMNSFRST,TN-Memphis,Memphis-Metro
CLOSED,310,NS - Miami - NOW FEC MIAMI,ramp,7300 NW 69th Avenue,Miami,FL,33166,USA,USMIANSMIAM,FL-Tampa,Tampa Rails
VERIFIED,182,NS - Morrisville,ramp,98 Cabot Blvd. East,Langhorne,PA,19047,USA,USPHLNSMRRS,PA-Philadelphia,Philadelphia-Rails
VERIFIED,169,NS - New Orleans (Florida Avenue),ramp,2900 Florida Avenue,New Orleans,LA,70117,USA,USMSYNSFLAV,LA-New Orleans,New Orleans-Rails
VERIFIED,183,NS - Croxton (NJIT),ramp,125 County Road,Jersey City,NJ,7307,USA,USNYCNSNJIT,NJ-Newark,NY/NJ-Rails
VERIFIED,184,NS - Norfolk International,ramp,1710 Atlantic Avenue,Chesapeake,VA,23324,USA,USORFNSNFLK,VA-Norfolk,Norfolk-Rails
VERIFIED,185,NS - Charleston,ramp,4350 Goer Drive,North Charleston,SC,29406,USA,USCHSNSNCHS,SC-Charleston,Charleston-Rails
VERIFIED,186,NS - NY Containter Terminal,ramp,300 Western Avenue,Staten Island,NY,10303,USA,USNYCNSNYCT,NY-New York ,NY/NJ-Rails
VERIFIED,187,NS - Pittsburgh (Pitcairn),ramp,701 Wall Road,Wall,PA,15148,USA,USPITNSPCRN,PA-Pittsburgh,
VERIFIED,188,NS - Columbus,ramp,3329 Thoroughbred Drive,Columbus,OH,43217,USA,USCMHNSRICK,OH-Columbus,
VERIFIED,189,NS - Memphis (Rossville),ramp,3000 Norfolk Southern Way,Collierville,TN,38017,USA,USMEMNSROSS,TN-Memphis,Memphis-Collierville
VERIFIED,190,NS - Rutherford,ramp,5050 Paxton Street,Harrisburg,PA,17111,USA,USHARNSRTHR,PA-Harriburgh,
VERIFIED,176,NS - Saint Louis (Luther Yard),ramp,333 East Carrie Avenue,Saint Louis,MO,63147,USA,USSTLNSLTHR,MO-Saint Louis,
VERIFIED,191,NS - Savannah (Garden City Marine Terminal),ramp,3 North Main Street,Savannah,GA,31408,USA,USSAVNSSVNH,GA-Savannah,Savannah Rails
VERIFIED,193,NS - Taylor,ramp,One Depot Street,Taylor,PA,18517,USA,USSCRNSTYLR,PA-Taylor,
VERIFIED,194,NS - Titusville (Serves FEC),ramp,6601 Tico Road,Titusville,FL,32780,USA,USTIXNSTTSV,FL-Titusville,
VERIFIED,195,NS - Toledo,ramp,2101 Hill Street,Toledo,OH,43607,USA,USTOLNSTLDO,OH-Toledo,
VERIFIED,214,Port of Tucson,ramp,6964 E. Century Park Drive,Tucson,AZ,85706,USA,USTUZPTTCSN,AZ-Tucson,
VERIFIED,227,UP - Chicago (Global I),ramp,1425 S. Western Ave.,Chicago,IL,60608,USA,USCHIUPGLB1,IL-Chicago,Chicago Metro
VERIFIED,228,UP - Chicago (Global II),ramp,301 W. Lake St.,Northlake,IL,60164,USA,USCHIUPGLB2,IL-Chicago,Chicago North
VERIFIED,230,UP - Chicago (Yard Center),ramp,147th St. Indiana Ave.,Dolton,IL,60419,USA,USCHIUPYARD,IL-Chicago,Chicago South
VERIFIED,232,UP - City of Industry,ramp,17225 Arenth Avenue,City of Industry,CA,91748,USA,USLAXUPCOFI,CA-Los Angeles,LA Rails
VERIFIED,233,UP - Council Bluffs (Omaha),ramp,2722 South Avenue,Council Bluffs,IA,51503,USA,USOMAUPBLUF,NE-Omaha,
VERIFIED,234,UP - Dallas (Mesquite),ramp,4100 Forney Rd.,Mesquite,TX,75149,USA,USDALUPMESQ,TX-Dallas,
VERIFIED,235,UP - Dallas (Dallas Intermodal Terminal),ramp,1550 Fulghum Road,Hutchins,TX,75141,USA,USDALUPDINT,TX-Dallas,
VERIFIED,236,UP - Dallas (Rio Valley),ramp,100 North Whalen Road,Donna,TX,78537,USA,USZMXUPDLRV,TX-Rio Valley,
VERIFIED,237,UP - Denver,ramp,4085 York Street,Denver,CO,80216,USA,USDENUPDNVR,CO-Denver,
VERIFIED,238,UP - Los Angeles (East Washington Blvd),ramp,4341 E. Washington Blvd,Commerce,CA,90023,USA,USLAXUPEALA,CA-Los Angeles,LA Rails
CALL,244,UP - Houston (Barbours Cut),ramp,1819 East Barbours Cut Blvd,La Porte,TX,77571,USA,USHOUUPBARB,TX-Houston,Houston-Rails
VERIFIED,245,UP - Houston (Englewood Yard),ramp,5550 Wallisville Road,Houston,TX,77020,USA,USHOUUPENGL,TX-Houston,Houston-Rails
VERIFIED,263,UP - Houston (Settegast Yard),ramp,6800 Kirkpatrick Blvd,Houston,TX,77028,USA,USHOUUPSETT,TX-Houston,Houston-Rails
VERIFIED,246,UP - Los Angeles (ICTF),ramp,2401 E. Sepulveda Blvd.,Long Beach,CA,90810,USA,USLAXUPICTF,CA-Los Angeles,LB Ports
VERIFIED,248,UP - Joliet Intermodal Terminal (Global IV),ramp,3000 Centerpoint Way,Joliet,IL,60436,USA,USCHIUPGLB4,IL-Chicago,Chicago Elwood/Joliet
VERIFIED,254,UP - Kansas City,ramp,4801 Gardner Avenue,Kansas City,MO,64120,USA,USMKCUPNEFF,MO-Kansas City,
VERIFIED,249,UP - Las Vegas,ramp,4740 East Tropical Pkwy,North Las Vegas,NV,89030,USA,USLASUPVEGS,NV-Las Vegas,
VERIFIED,250,UP - Los Angeles (LATC),ramp,750 Lamar Street,Los Angeles,CA,90031,USA,USLAXUPLATC,CA-Los Angeles,LB Ports
VERIFIED,251,UP - Lathrop,ramp,1000 East Roth Road,French Camp,CA,95231,USA,USSCKUPLTHP,CA-Stockton ,Lathrop
VERIFIED,252,UP - Memphis (Marion),ramp,5500 Kuhn Road,Marion,AR,72364,USA,USMEMUPMARN,TN-Memphis,Memphis-Marion
VERIFIED,224,UP - New Orleans (Avondale),ramp,100 Avondale Garden Road,Avondale,LA,70094,USA,USMSYUPAVDL,LA-New Orleans,New Orleans-Ports
VERIFIED,253,UP - Oakland Middle Harbor,ramp,1408 Middle Harbor Road,Oakland,CA,94607,USA,USOAKUPMIDH,CA-Oakland,Oakland Rails
CLOSED,256,UP - Phoenix,ramp,425 S. 67th Avenue,Phoenix,AZ,85034,USA,USPHXUPPHNX,AZ-Phoenix,
VERIFIED,257,UP -Laredo,ramp,Interstate Hwy 35 N MM12,Laredo,TX,78041,USA,USLRDUPPTLD,TX-Laredo,
VERIFIED,225,UP - Portland (Brooklyn),ramp,1862 S.E. Holgate Blvd.,Portland,OR,97202,USA,USPDXUPBRKL,OR-Portland,
VERIFIED,260,UP - San Antonio Intermodal Terminal (SAIT),ramp,13001 IH-35 South,Von Ormy,TX,78073,USA,USSATUPSAIT,TX-San Antonio,
VERIFIED,261,UP - Santa Teresa,ramp,9050 Strauss Road,Santa Teresa,NM,88008,USA,USSXTUPTRSA,TX-El Paso,
VERIFIED,262,UP - Seattle (Denver Avenue),ramp,4700 Denver Avenue South,Seattle,WA,98134,USA,USSEAUPDNVR,WA-Seattle ,Seattle-Rails
VERIFIED,264,UP -  Salt Lake City,ramp,1045 South 5500 West,Salt Lake City,UT,84104,USA,USSLCUPSLCT,UT-Salt Lake City,
VERIFIED,266,UP - St. Louis (Dupo) ,ramp,Highway 3 State Street,Dupo,IL,62239,USA,USSTLUPDUPO,MO-Saint Louis,
VERIFIED,267,UP - Tacoma,ramp,1738 Milwaukee Way,Tacoma,WA,98421,USA,USTIWUPTCSM,WA-Tacoma,Tacoma-Rails
VERIFIED,269,UP - Tucson,ramp,6800 E. Century Park Drive,Tucson,AZ,85706,USA,USTUZUPTCSN,AZ-Tucson,
